id,host_id,host_is_superhost,host_listings_count,property_type,room_type,price,minimum_nights,number_of_reviews,review_scores_rating,reviews_per_month
311472,1602219,FALSE,4,Private room in bed and breakfast,Private room,$110.00,4,0,NA,NA
311479,1602248,TRUE,3,Entire rental unit,Entire home/apt,$105.00,4,120,4.75,1.23
313461,1227993,FALSE,3,Entire rental unit,Entire home/apt,$100.00,3,83,4.62,0.82
313802,848085,FALSE,5,Room in bed and breakfast,Hotel room,$94.00,1,117,4.75,1.78
314094,1613872,FALSE,1,Entire rental unit,Entire home/apt,$100.00,2,63,4.72,0.66
314923,1617572,TRUE,10,Private room in residential home,Private room,$63.00,1,78,4.26,0.9
315636,1514413,FALSE,9,Private room in bed and breakfast,Private room,$32.00,1,160,3.87,1.78
315637,1514413,FALSE,9,Room in bed and breakfast,Hotel room,$44.00,1,114,3.96,1.2
317329,6747473,TRUE,1,Entire rental unit,Entire home/apt,$95.00,2,155,4.62,1.46
321376,1646068,TRUE,5,Entire residential home,Entire home/apt,$86.00,2,107,4.8,1.48
331151,1688828,FALSE,2,Entire rental unit,Entire home/apt,$60.00,2,39,4.33,0.44
332932,1445896,FALSE,4,Entire rental unit,Entire home/apt,$103.00,4,154,4.68,1.45
335961,1364177,FALSE,2,Entire rental unit,Entire home/apt,$97.00,3,38,4.82,0.52
340882,1729833,TRUE,3,Entire rental unit,Entire home/apt,$90.00,3,104,4.41,0.99
341252,1731092,TRUE,2,Entire rental unit,Entire home/apt,$195.00,2,99,4.74,1.11
343849,669047,TRUE,87,Entire rental unit,Entire home/apt,$297.00,3,23,4.78,0.32
344046,1729833,TRUE,3,Entire rental unit,Entire home/apt,$21.00,30,92,4.68,0.87
346183,1755160,FALSE,2,Entire rental unit,Entire home/apt,$95.00,2,91,4.57,1.5
346257,1755413,FALSE,3,Entire rental unit,Entire home/apt,$102.00,4,37,4.78,0.59
347347,1493787,TRUE,2,Entire rental unit,Entire home/apt,$60.00,2,12,4.83,0.11
348409,1765622,FALSE,1,Entire rental unit,Entire home/apt,$260.00,3,101,4.83,1.56
352392,1784535,TRUE,4,Entire rental unit,Entire home/apt,$71.00,2,182,4.95,2.3
352478,1784907,FALSE,0,Entire condominium (condo),Entire home/apt,$100.00,7,0,NA,NA
356388,642936,FALSE,1,Private room in rental unit,Private room,$65.00,2,350,4.65,3.11
357073,1567140,TRUE,8,Entire serviced apartment,Entire home/apt,$133.00,1,320,4.85,2.84
358332,1813795,TRUE,5,Private room in rental unit,Private room,$155.00,1,430,4.78,3.83
369257,1862349,TRUE,4,Entire rental unit,Entire home/apt,$74.00,3,203,4.67,2.3
372379,619545,TRUE,2,Entire rental unit,Entire home/apt,$290.00,3,148,4.89,1.36
375305,1784566,TRUE,2,Entire rental unit,Entire home/apt,$87.00,4,167,4.63,1.71
376362,1532147,TRUE,2,Entire rental unit,Entire home/apt,$83.00,2,39,4.56,0.6
378039,745553,TRUE,10,Entire condominium (condo),Entire home/apt,$94.00,3,196,4.55,2.39
388399,1943379,FALSE,1,Entire rental unit,Entire home/apt,"$2,000.00",1,342,4.67,3.27
396228,1602248,TRUE,3,Entire rental unit,Entire home/apt,$105.00,4,116,4.76,1.21
412848,2054352,FALSE,1,Entire rental unit,Entire home/apt,$71.00,2,56,4.66,0.76
414370,1532147,TRUE,2,Entire rental unit,Entire home/apt,$94.00,2,59,4.42,0.55
